iter	Passed	Remaining
846	1970	355
847	1974	353
848	1979	352
849	1981	349
850	1982	347
851	1984	344
852	1985	342
853	1988	339
854	1991	337
855	1993	335
856	1995	332
857	1996	330
858	1997	327
859	1998	325
860	2004	323
861	2007	321
862	2008	318
863	2010	316
864	2012	314
865	2014	311
866	2015	309
867	2018	307
868	2022	304
869	2025	302
870	2027	300
871	2028	297
872	2029	295
873	2030	292
874	2034	290
875	2036	288
876	2038	285
877	2039	283
878	2044	281
879	2045	278
880	2050	276
881	2054	274
882	2055	272
883	2056	269
884	2057	267
885	2058	264
886	2060	262
887	2061	260
888	2068	258
889	2070	255
890	2072	253
891	2074	251
892	2077	248
893	2081	246
894	2083	244
895	2084	241
896	2085	239
897	2086	237
898	2088	234
899	2089	232
900	2093	230
901	2095	227
902	2097	225
903	2099	222
904	2100	220
905	2101	218
906	2107	216
907	2112	214
908	2113	211
909	2115	209
910	2116	206
911	2121	204
912	2125	202
913	2128	200
914	2130	197
915	2135	195
916	2136	193
917	2138	191
918	2140	188
919	2141	186
920	2143	183
921	2145	181
922	2146	179
923	2150	176
924	2154	174
925	2155	172
926	2156	169
927	2158	167
928	2160	165
929	2166	163
930	2167	160
931	2168	158
932	2169	155
933	2170	153
934	2184	151
935	2190	149
936	2200	147
937	2202	145
938	2205	143
939	2210	141
940	2213	138
941	2214	136
942	2216	133
943	2217	131
944	2219	129
945	2220	126
946	2222	124
947	2225	122
948	2229	119
949	2230	117
950	2232	115
951	2234	112
952	2244	110
953	2247	108
954	2249	105
955	2251	103
956	2254	101
957	2257	98
958	2259	96
959	2260	94
960	2261	91
961	2262	89
962	2264	86
963	2268	84
964	2274	82
965	2276	80
966	2277	77
967	2278	75
968	2280	72
969	2285	70
970	2293	68
971	2294	66
972	2299	63
973	2302	61
974	2304	59
975	2305	56
976	2306	54
977	2307	51
978	2309	49
979	2310	47
980	2313	44
981	2315	42
982	2317	40
983	2318	37
984	2319	35
985	2321	32
986	2323	30
987	2329	28
988	2331	25
989	2333	23
990	2334	21
991	2337	18
992	2339	16
993	2343	14
994	2344	11
995	2350	9
996	2357	7
997	2359	4
998	2361	2
999	2362	0
